objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
146720,Castelbello-Ciardes,Kastelbell-Tschars,39020,Kastelbell,Castelbello,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
147775,Varna,Vahrn,39040,Neustift,Novacella,408 - Ort < 1.000 Einwohner,4
147974,Laion,Lajen,39040,Tanirz,Tanurza,"409 - Weiler, Häusergruppe",3
148086,Appiano,Eppan,39057,Sankt Pauls,San Paolo,407 - Ort > 1.000 Einwohner,4
148670,S.Martino in Badia,St.Martin in Thurn,39030,Sankt Martin in Thurn,San Martino,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
148916,Renon,Ritten,39054,Atzwang,Campodazzo,"409 - Weiler, Häusergruppe",4
149850,Prato allo Stelvio,Prad am Stilfser Joch,39026,Lichtenberg,Montechiaro,408 - Ort < 1.000 Einwohner,4
149906,Valle Aurina,Ahrntal,39030,Sankt Jakob,San Giacomo,408 - Ort < 1.000 Einwohner,4
150014,Avelengo,Hafling,39010,Hafling,Avelengo,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
150877,Malles Venosta,Mals,39024,Burgeis,Burgusio,408 - Ort < 1.000 Einwohner,3
152170,Chienes,Kiens,39030,Kiens,Chienes,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
152267,Scena,Schenna,39017,Schenna,Scena,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
152324,Valle di Casies,Gsies,39030,Pichl,Colle,408 - Ort < 1.000 Einwohner,4
152696,Laion,Lajen,39040,Albions,Albions,408 - Ort < 1.000 Einwohner,0
152713,S.Pancrazio,St.Pankraz,39010,Sankt Pankraz,San Pancrazio,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
152742,Scena,Schenna,39017,Tall,Talle,303 - Mittelgroßes Gebiet,3
153047,Racines,Ratschings,39040,St. Anton,Sant'Antonio,413 - Kleineres Bauwerk,4
153446,Castelrotto,Kastelruth,39040,Sankt Oswald,Sant’Osvaldo,"409 - Weiler, Häusergruppe",4
153510,Falzes,Pfalzen,39030,Greinwalden,Grimaldo,"409 - Weiler, Häusergruppe",3
154868,Senales,Schnals,39020,Vernagt,Vernago,"409 - Weiler, Häusergruppe",3
154890,Stelvio,Stilfs,39029,Gomagoi,Gomagoi,408 - Ort < 1.000 Einwohner,0
154974,Monguelfo-Tesido,Welsberg-Taisten,39035,Taisten,Tesido,407 - Ort > 1.000 Einwohner,3
155209,Valle Aurina,Ahrntal,39030,Luttach,Lutago,408 - Ort < 1.000 Einwohner,5
156672,Tesimo,Tisens,39010,Grissian,Grissano,408 - Ort < 1.000 Einwohner,3
156943,Parcines,Partschins,39020,Rabland,Rablà,408 - Ort < 1.000 Einwohner,5
157554,Castelrotto,Kastelruth,39040,Tagusens,Tagusa,"409 - Weiler, Häusergruppe",3
158725,Bressanone,Brixen,39042,Sarns,Sarnes,408 - Ort < 1.000 Einwohner,1
159283,S.Lorenzo di Sebato,St.Lorenzen,39030,Sankt Lorenzen,San Lorenzo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
159311,S.Genesio Atesino,Jenesien,39050,Glaning,Cologna,"409 - Weiler, Häusergruppe",3
159785,Bressanone,Brixen,39042,Tschötsch,Scezze,408 - Ort < 1.000 Einwohner,3
160809,Naturno,Naturns,39025,Staben,Stava,408 - Ort < 1.000 Einwohner,3
161246,Cortina,Kurtinig,39040,Kurtinig,Cortina,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
161982,Dobbiaco,Toblach,39034,Wahlen,Valle S. Silvestro,408 - Ort < 1.000 Einwohner,6
163088,Malles Venosta,Mals,39024,Matsch,Mazia,408 - Ort < 1.000 Einwohner,3
163529,Bressanone,Brixen,39042,Elvas,Elvas,408 - Ort < 1.000 Einwohner,1
163801,Tubre,Taufers im Münstertal,39020,Rifair,Rivaira di Sotto,408 - Ort < 1.000 Einwohner,3
163993,Appiano,Eppan,39057,Frangart,Frangarto,408 - Ort < 1.000 Einwohner,5
165432,Varna,Vahrn,39040,Spiluck,Spelonca,"409 - Weiler, Häusergruppe",3
166183,Renon,Ritten,39054,Signat,Signato,"409 - Weiler, Häusergruppe",3
166590,Trodena,Truden,39040,Mühlen,Molini,"409 - Weiler, Häusergruppe",4
167852,Rio di Pusteria,Mühlbach,39037,Mühlbach,Rio Pusteria,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
168013,Tires,Tiers,39050,Tiers,Tires,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
168161,Laces,Latsch,39021,St. Martin,S. Martino al Monte,"409 - Weiler, Häusergruppe",4
168731,Tubre,Taufers im Münstertal,39020,Taufers,Tubre,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
170766,Fortezza,Franzensfeste,39045,Grasstein,Le Cave,408 - Ort < 1.000 Einwohner,4
171077,Ultimo,Ulten,39016,Kuppelwies,Pracupola,408 - Ort < 1.000 Einwohner,6
171613,Campo di Trens,Freienfeld,39040,Freienfeld,Campo di Trens,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
172816,Merano,Meran,39012,Sinich,Sinigo,407 - Ort > 1.000 Einwohner,3
285801,Lagundo,Algund,39022,Oberplars,Plars di Sopra,408 - Ort < 1.000 Einwohner,0
285804,Perca,Percha,39030,Oberwielenbach,Vila di Sopra,408 - Ort < 1.000 Einwohner,6
285852,Campo Tures,Sand in Taufers,39032,Taufers,Tubre,408 - Ort < 1.000 Einwohner,3
285862,Nova Ponente,Deutschnofen,39050,Weißenstein,Pietralba,"409 - Weiler, Häusergruppe",4
285868,Marebbe,Enneberg,39030,Rina / Welschellen,Rina,408 - Ort < 1.000 Einwohner,1
