objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
192,S.Lorenzo di Sebato,St.Lorenzen,39030,Maria Saalen,Sares,"409 - Weiler, Häusergruppe",3
1119,Tesimo,Tisens,39010,Gfrill,Cauria,408 - Ort < 1.000 Einwohner,2
2044,Monguelfo-Tesido,Welsberg-Taisten,39035,Welsberg,Monguelfo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
2591,Brunico,Bruneck,39031,Sankt Georgen,San Giorgio,408 - Ort < 1.000 Einwohner,4
2664,Valdaora,Olang,39030,Oberolang,Valdaora di Sopra,407 - Ort > 1.000 Einwohner,3
2935,Plaus,Plaus,39025,Plaus,Plaus,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,0
3400,S.Martino in Passiria,St.Martin in Passeier,39010,Saltaus,Saltusio,408 - Ort < 1.000 Einwohner,3
3406,Salorno,Salurn,39040,Gfrill,Cauria,"409 - Weiler, Häusergruppe",2
4354,Ultimo,Ulten,39016,Sankt Walburg,Santa Valburga,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
4864,Campo di Trens,Freienfeld,39040,Elzenbaum,Pruno,408 - Ort < 1.000 Einwohner,4
6035,Rio di Pusteria,Mühlbach,39037,Vals,Valles,408 - Ort < 1.000 Einwohner,3
6499,Meltina,Mölten,39010,Schlaneid,Salonetto,408 - Ort < 1.000 Einwohner,5
7573,Moso in Passiria,Moos in Passeier,39013,Rabenstein,Corvara,408 - Ort < 1.000 Einwohner,4
7891,Egna,Neumarkt,39044,Mazon,Mazzon,"409 - Weiler, Häusergruppe",5
7971,Marlengo,Marling,39020,Marling,Marlengo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
8118,Fie' allo Sciliar,Völs am Schlern,39050,Prösels,Presule,"409 - Weiler, Häusergruppe",5
8149,Naz-Sciaves,Natz-Schabs,39040,Natz,Naz,408 - Ort < 1.000 Einwohner,1
8338,Ultimo,Ulten,39016,St. Moritz,S. Maurizio,412 - Historisches Bauwerk,4
9088,Lana,Lana,39011,Lana,Lana,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,0
9866,Brunico,Bruneck,39031,Bruneck,Brunìco,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
9967,Castelrotto,Kastelruth,39040,Seis,Siusi,407 - Ort > 1.000 Einwohner,3
10213,Appiano,Eppan,39057,Missian,Missan,408 - Ort < 1.000 Einwohner,3
10966,Malles Venosta,Mals,39024,Tartsch,Tarces,408 - Ort < 1.000 Einwohner,5
11689,Nova Ponente,Deutschnofen,39050,Petersberg,Monte S. Pietro,408 - Ort < 1.000 Einwohner,4
11850,Egna,Neumarkt,39044,Laag,Laghetto,408 - Ort < 1.000 Einwohner,2
11868,Merano,Meran,39012,Untermais,Maia Bassa,406 - Ort > 5.000 Einwohner,2
12173,Malles Venosta,Mals,39024,Mals,Malles,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
12179,Barbiano,Barbian,39040,Barbian,Barbiano,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
12580,Lagundo,Algund,39022,Algund,Lagundo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
12794,Racines,Ratschings,39040,Ridnaun,Ridanna,408 - Ort < 1.000 Einwohner,3
13592,Tesimo,Tisens,39010,Tisens,Tesimo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
14225,Renon,Ritten,39054,Gissmann,Madonnina,"409 - Weiler, Häusergruppe",6
14441,Campo Tures,Sand in Taufers,39032,Sand in Taufers,Campo Tures,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,4
14732,Badia,Abtei,39036,Abtei,Badia,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
14770,Ora,Auer,39040,Auer,Ora,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
16985,Lana,Lana,39011,Völlan,Foiana,407 - Ort > 1.000 Einwohner,3
17664,Sluderno,Schluderns,39020,Schluderns,Sluderno,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
17878,Fie' allo Sciliar,Völs am Schlern,39050,Breien,Briè,"409 - Weiler, Häusergruppe",5
18004,Appiano,Eppan,39057,Sankt Michael,San Michele,407 - Ort > 1.000 Einwohner,4
18314,Badia,Abtei,39036,Stern,La Villa,408 - Ort < 1.000 Einwohner,1
18843,Perca,Percha,39030,Wielenberg,Montevila,"409 - Weiler, Häusergruppe",4
19187,Castelbello-Ciardes,Kastelbell-Tschars,39020,Tschars,Ciardes,408 - Ort < 1.000 Einwohner,5
19460,Bressanone,Brixen,39042,Sankt Andrä,Sant’Andrea,408 - Ort < 1.000 Einwohner,4
20296,Luson,Lüsen,39040,Rungg,Ronco,"409 - Weiler, Häusergruppe",3
20742,Rasun Anterselva,Rasen-Antholz,39030,Niederrasen,Rasun di Sotto,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
21414,Nova Levante,Welschnofen,39056,Welschnofen,Nova,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
21450,Anterivo,Altrei,39040,Altrei,Anterivo,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
22003,Scena,Schenna,39017,Videgg,Viadacqua,"409 - Weiler, Häusergruppe",5
22557,Malles Venosta,Mals,39024,Plawenn,Piavenna,408 - Ort < 1.000 Einwohner,3
22584,Caldaro,Kaltern,39052,Unterplanitzing,Planezza di Sotto,"409 - Weiler, Häusergruppe",3
22820,Renon,Ritten,39054,Oberinn,Auna di Sopra,408 - Ort < 1.000 Einwohner,3
23452,Fie' allo Sciliar,Völs am Schlern,39050,Ums,Umes,"409 - Weiler, Häusergruppe",3
23668,Gais,Gais,39030,Tesselberg,Montassilone,408 - Ort < 1.000 Einwohner,4
23898,Chienes,Kiens,39030,Ehrenburg,Casteldarne,408 - Ort < 1.000 Einwohner,4
23977,Campo Tures,Sand in Taufers,39032,Rein,Riva di Tures,408 - Ort < 1.000 Einwohner,3
24001,Ultimo,Ulten,39016,Sankt Nikolaus,San Nicolò,408 - Ort < 1.000 Einwohner,4
24006,Laces,Latsch,39021,Latsch,Laces,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,5
24233,Nova Ponente,Deutschnofen,39050,Rauth,Novale,"409 - Weiler, Häusergruppe",4
24723,Senales,Schnals,39020,Unser Frau,Madonna,408 - Ort < 1.000 Einwohner,4
25244,Lasa,Laas,39023,Tarnell,Tarnello,"409 - Weiler, Häusergruppe",3
25284,Valdaora,Olang,39030,Niederolang,Valdaora di Sotto,408 - Ort < 1.000 Einwohner,3
25870,S.Martino in Badia,St.Martin in Thurn,39030,Campill,Lungiarù,408 - Ort < 1.000 Einwohner,1
27077,Montagna,Montan,39040,Montan,Montagna,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
27444,Laion,Lajen,39040,Sankt Peter,San Pietro,408 - Ort < 1.000 Einwohner,4
27603,Bressanone,Brixen,39042,Pinzagen,Pinzago,"409 - Weiler, Häusergruppe",3
27732,Proves,Proveis,39040,Proveis,Proves,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
28118,Lasa,Laas,39023,Tanas,Tanas,408 - Ort < 1.000 Einwohner,0
28429,Appiano,Eppan,39057,Girlan,Ghirla,407 - Ort > 1.000 Einwohner,3
28458,Malles Venosta,Mals,39024,Laatsch,Laudes,408 - Ort < 1.000 Einwohner,5
29146,Valdaora,Olang,39030,Geiselsberg,Sorafurcia,"409 - Weiler, Häusergruppe",3
29455,Trodena,Truden,39040,Truden,Trodena,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
29692,Lasa,Laas,39023,Eyrs,Oris,408 - Ort < 1.000 Einwohner,1
30731,Caines,Kuens,39010,Kuens,Caines,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
30953,Barbiano,Barbian,39040,Kollmann,Colma,408 - Ort < 1.000 Einwohner,5
31129,Magre',Margreid,39040,Margreid,Magré,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
31629,Predoi,Prettau,39030,Prettau,Predoi,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
31982,Termeno,Tramin,39040,Tramin,Termeno,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
32195,Chienes,Kiens,39030,Hofern,Corti,408 - Ort < 1.000 Einwohner,4
33299,Falzes,Pfalzen,39030,Pfalzen,Falzes,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
33991,Lauregno,Laurein,39040,Laurein,Lauregno,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
34333,Postal,Burgstall,39014,Burgstall,Póstal,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
34543,Verano,Vöran,39010,Vöran,Verano,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
34877,Fortezza,Franzensfeste,39045,Franzensfeste,Fortezza,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
34955,Bolzano,Bozen,39100,Rentsch,Rencio,"409 - Weiler, Häusergruppe",3
35314,Rodengo,Rodeneck,39037,Rodeneck,Rodengo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
35980,Senale-S.Felice,U.L.Frau i.W.-St.Felix,39010,Unsere liebe Frau im Walde - Sankt Felix,Senale - San Felice,408 - Ort < 1.000 Einwohner,2
36585,Renon,Ritten,39054,Lengmoos,Longomoso,408 - Ort < 1.000 Einwohner,5
36691,Merano,Meran,39012,Meran,Merano,401 - Hauptort und/oder Gemeinde > 30.000 Einwohner,2
36761,Andriano,Andrian,39010,Andrian,Andriano,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
36920,Malles Venosta,Mals,39024,Planeil,Planol,408 - Ort < 1.000 Einwohner,3
37399,Rifiano,Riffian,39010,Vernuer,Vernurio,"409 - Weiler, Häusergruppe",3
37716,Cortaccia,Kurtatsch,39040,Entiklar,Niclàr,"409 - Weiler, Häusergruppe",5
37856,Sarentino,Sarntal,39058,Asten,Laste,"409 - Weiler, Häusergruppe",6
38085,Valdaora,Olang,39030,Mitterolang,Valdaora di Mezzo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
38409,Cornedo all'Isarco,Karneid,39053,Kardaun,Cardano,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
38503,Racines,Ratschings,39040,Ratschings,Racines,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
39454,Varna,Vahrn,39040,Schalders,Scaleres,408 - Ort < 1.000 Einwohner,3
40271,Perca,Percha,39030,Nasen,Nessano,"409 - Weiler, Häusergruppe",5
40324,Val di Vizze,Pfitsch,39049,Pfitsch,Val di Vizze,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
40485,Naz-Sciaves,Natz-Schabs,39040,Viums,Fiumes,408 - Ort < 1.000 Einwohner,3
40770,Brunico,Bruneck,39031,Stegen,Stegona,408 - Ort < 1.000 Einwohner,5
40794,Marebbe,Enneberg,39030,Zwischenwasser,Longega,"409 - Weiler, Häusergruppe",1
40861,Silandro,Schlanders,39028,Kortsch,Corzes,408 - Ort < 1.000 Einwohner,3
40918,Brunico,Bruneck,39031,Luns,Lunes,"409 - Weiler, Häusergruppe",5
41051,Sarentino,Sarntal,39058,Aberstückl,Sonvigo,"409 - Weiler, Häusergruppe",4
42236,Campo Tures,Sand in Taufers,39032,Ahornach,Acereto,408 - Ort < 1.000 Einwohner,4
42324,Lasa,Laas,39023,Laas,Lasa,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
42363,Velturno,Feldthurns,39040,Schnauders,Snodres,"409 - Weiler, Häusergruppe",3
42875,Sarentino,Sarntal,39058,Bundschen,Ponticino,"409 - Weiler, Häusergruppe",5
43041,Selva dei Molini,Mühlwald,39030,Lappach,Lappago,408 - Ort < 1.000 Einwohner,5
43163,Appiano,Eppan,39057,Montiggl,Montìchel,408 - Ort < 1.000 Einwohner,3
43657,Silandro,Schlanders,39028,Schlanders,Silandro,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,5
43950,Laives,Leifers,39055,Seit,La Costa,"409 - Weiler, Häusergruppe",4
44012,Corvara in Badia,Corvara,39033,Colfosch,Colfosco,408 - Ort < 1.000 Einwohner,1
44446,Senales,Schnals,39020,Karthaus,Certosa,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
44463,Vandoies,Vintl,39030,Weitental,Vallarga,408 - Ort < 1.000 Einwohner,4
44949,Parcines,Partschins,39020,Töll,Tel,408 - Ort < 1.000 Einwohner,3
47386,Vipiteno,Sterzing,39049,Tschöfs,Ceves,408 - Ort < 1.000 Einwohner,1
49956,Vipiteno,Sterzing,39049,Flans,Flanes,"409 - Weiler, Häusergruppe",5
50301,Cermes,Tscherms,39010,Tscherms,Cermes,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
50835,Laion,Lajen,39040,Tschöfas,Ceves,"409 - Weiler, Häusergruppe",1
51194,Meltina,Mölten,39010,Verschneid,Frassineto,408 - Ort < 1.000 Einwohner,3
51196,Luson,Lüsen,39040,Flitt,Valletta,"409 - Weiler, Häusergruppe",5
51413,Bressanone,Brixen,39042,Milland,Millan,407 - Ort > 1.000 Einwohner,3
51686,Renon,Ritten,39054,Lengstein,Longostagno,408 - Ort < 1.000 Einwohner,5
51716,Rifiano,Riffian,39010,Gfeis,Caveis,"409 - Weiler, Häusergruppe",1
51810,Sarentino,Sarntal,39058,Weissenbach,Riobianco,408 - Ort < 1.000 Einwohner,4
51956,Stelvio,Stilfs,39029,Trafoi,Trafoi,408 - Ort < 1.000 Einwohner,3
52075,Selva di Val Gardena,Wolkenstein in Gröden,39048,Wolkenstein,Selva,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
52236,Cornedo all'Isarco,Karneid,39053,Steinegg,Collepietra,408 - Ort < 1.000 Einwohner,4
52380,Rio di Pusteria,Mühlbach,39037,Meransen,Maranza,408 - Ort < 1.000 Einwohner,3
53737,Perca,Percha,39030,Percha,Perca,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
55280,Brennero,Brenner,39041,Pflersch,Fleres,410 - Einzelhaus,5
55321,Racines,Ratschings,39040,Mareit,Mareta,407 - Ort > 1.000 Einwohner,5
55892,Marebbe,Enneberg,39030,Enneberg,Marebbe,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
56089,Montagna,Montan,39040,Gschnon,Casignano,"409 - Weiler, Häusergruppe",2
56890,Laives,Leifers,39055,Leifers,Laives,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
57145,Dobbiaco,Toblach,39034,Aufkirchen,Santa Maria,"409 - Weiler, Häusergruppe",6
59176,Parcines,Partschins,39020,Partschins,Parcines,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
59421,Campo di Trens,Freienfeld,39040,Pfulters,Fuldres,408 - Ort < 1.000 Einwohner,3
59423,Val di Vizze,Pfitsch,39049,Wiesen,Prati,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
60239,Prato allo Stelvio,Prad am Stilfser Joch,39026,Agums,Agumes,408 - Ort < 1.000 Einwohner,3
60484,Brunico,Bruneck,39031,Reischach,Riscone,408 - Ort < 1.000 Einwohner,3
60742,Vipiteno,Sterzing,39049,Ried,Novale,"409 - Weiler, Häusergruppe",4
61036,Chiusa,Klausen,39043,Gufidaun,Gudon,407 - Ort > 1.000 Einwohner,3
61068,Sarentino,Sarntal,39058,Riedelsberg,Montenovale,"409 - Weiler, Häusergruppe",4
61069,Sarentino,Sarntal,39058,Durnholz,Valdurna,408 - Ort < 1.000 Einwohner,4
61415,Curon Venosta,Graun im Vinschgau,39027,St. Valentin auf der Haide,S. Valentino alla Muta,408 - Ort < 1.000 Einwohner,4
61515,Braies,Prags,39030,St. Veit,S. Vito,408 - Ort < 1.000 Einwohner,4
61898,Caldaro,Kaltern,39052,Kaltern,Caldaro,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
62083,Nova Ponente,Deutschnofen,39050,Deutschnofen,Nova Tedesca,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
62622,Prato allo Stelvio,Prad am Stilfser Joch,39026,Prad,Prato allo Stelvio,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
63805,Sarentino,Sarntal,39058,Nordheim-Astfeld,Villa-Campolasta,408 - Ort < 1.000 Einwohner,4
63899,Ponte Gardena,Waidbruck,39040,Waidbruck,Ponte Gardena,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,6
64834,Bolzano,Bozen,39100,Sigmundskron,Ponte Adige,406 - Ort > 5.000 Einwohner,3
64847,Bressanone,Brixen,39042,Tils,Tiles,408 - Ort < 1.000 Einwohner,5
64872,Salorno,Salurn,39040,Salurn,Salorno,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
65212,Bolzano,Bozen,39100,Kampenn,Campegno,"409 - Weiler, Häusergruppe",3
65484,Campo di Trens,Freienfeld,39040,Stilfes,Stilves,408 - Ort < 1.000 Einwohner,1
65758,Merano,Meran,39012,Gratsch,Quarazze,"409 - Weiler, Häusergruppe",3
65828,Renon,Ritten,39054,Wangen,Vanga,408 - Ort < 1.000 Einwohner,5
66653,Sarentino,Sarntal,39058,Sarnthein,Sarentino,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
66877,Montagna,Montan,39040,Glen,Gleno,"409 - Weiler, Häusergruppe",3
67025,S.Candido,Innichen,39038,Winnebach,Prato alla Drava,408 - Ort < 1.000 Einwohner,4
67192,Ortisei,St.Ulrich,39046,St. Jakob,S. Giacomo,"409 - Weiler, Häusergruppe",4
67511,Dobbiaco,Toblach,39034,Toblach,Dobbiaco,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
68874,Lagundo,Algund,39022,Vellau,Velloi,408 - Ort < 1.000 Einwohner,1
69217,Lagundo,Algund,39022,Aschbach,Rio Lagundo,408 - Ort < 1.000 Einwohner,4
70751,Renon,Ritten,39054,Ritten,Renon,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,3
70759,S.Martino in Badia,St.Martin in Thurn,39030,Pikolein,Piccolino,408 - Ort < 1.000 Einwohner,1
70906,Gais,Gais,39030,Gais,Gais,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,0
71228,S.Martino in Passiria,St.Martin in Passeier,39010,Sankt Martin in Passeier,San Martino in Passiria,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
71376,Montagna,Montan,39040,Kaltenbrunn,Fontanefredde,408 - Ort < 1.000 Einwohner,2
71708,Appiano,Eppan,39057,Perdonig,Predonico,"409 - Weiler, Häusergruppe",3
71899,Gais,Gais,39030,Uttenheim,Villa Ottone,408 - Ort < 1.000 Einwohner,4
72071,Campo Tures,Sand in Taufers,39032,Mühlen,Molini di Tures,408 - Ort < 1.000 Einwohner,4
73005,Velturno,Feldthurns,39040,Schrambach,S. Pietro Mezzomonte,"409 - Weiler, Häusergruppe",6
73085,Bolzano,Bozen,39100,St. Justina,S. Giustina,412 - Historisches Bauwerk,4
73528,Terlano,Terlan,39018,Siebeneich,Settequerce,408 - Ort < 1.000 Einwohner,4
73691,Bressanone,Brixen,39042,Brixen,Bressanone,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
74172,Brunico,Bruneck,39031,Dietenheim,Teodone,408 - Ort < 1.000 Einwohner,4
74675,Val di Vizze,Pfitsch,39049,Kematen,Caminata,408 - Ort < 1.000 Einwohner,3
74717,Valle di Casies,Gsies,39030,Unterplanken,Planca di Sotto,"409 - Weiler, Häusergruppe",4
75479,Aldino,Aldein,39040,Aldein,Aldino,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
75764,Terento,Terenten,39030,Terenten,Terento,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
76128,Sarentino,Sarntal,39058,Reinswald,S. Martino,408 - Ort < 1.000 Einwohner,6
76518,Vandoies,Vintl,39030,Niedervintl,Vandoies di Sotto,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
76795,S.Lorenzo di Sebato,St.Lorenzen,39030,Pflaurenz,Floronzo,"409 - Weiler, Häusergruppe",5
77076,Castelrotto,Kastelruth,39040,Kastelruth,Castelrotto,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
77585,Vandoies,Vintl,39030,Obervintl,Vandoies di Sopra,408 - Ort < 1.000 Einwohner,3
77874,Laion,Lajen,39040,Lajen,Laion,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
77904,Curon Venosta,Graun im Vinschgau,39027,Reschen,Resia,408 - Ort < 1.000 Einwohner,5
78032,Chiusa,Klausen,39043,Verdings,Verdinges,408 - Ort < 1.000 Einwohner,3
78520,Laion,Lajen,39040,Freins,Fraina,408 - Ort < 1.000 Einwohner,3
78672,Bressanone,Brixen,39042,Sankt Leonhard,San Leonardo,"409 - Weiler, Häusergruppe",4
78963,Funes,Villnöss,39040,Teis,Tiso,408 - Ort < 1.000 Einwohner,5
79046,Valle Aurina,Ahrntal,39030,St. Martin,S. Martino,"409 - Weiler, Häusergruppe",4
79112,Laces,Latsch,39021,Morter,Morter,408 - Ort < 1.000 Einwohner,0
79578,Nalles,Nals,39010,Nals,Nalles,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
80049,Valle Aurina,Ahrntal,39030,Sankt Peter,San Pietro,408 - Ort < 1.000 Einwohner,4
81103,Racines,Ratschings,39040,Stange,Stanghe,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
81245,Predoi,Prettau,39030,Kasern,Casere,"409 - Weiler, Häusergruppe",5
81303,Gargazzone,Gargazon,39010,Gargazon,Gargazzone,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
84429,Lasa,Laas,39023,Allitz,Alliz,"409 - Weiler, Häusergruppe",1
84625,Appiano,Eppan,39057,Eppan,Appiano,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
85152,Bressanone,Brixen,39042,Oberafers,Eores di Sopra,"409 - Weiler, Häusergruppe",3
86542,Caldaro,Kaltern,39052,Altenburg,Castello,408 - Ort < 1.000 Einwohner,4
86729,Malles Venosta,Mals,39024,Schlinig,Slingia,408 - Ort < 1.000 Einwohner,3
86808,Cornedo all'Isarco,Karneid,39053,Blumau,Prato all'Isarco/Prato Tires,408 - Ort < 1.000 Einwohner,4
86975,Bronzolo,Branzoll,39051,Branzoll,Bronzolo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
86979,Castelrotto,Kastelruth,39040,Pufels,Bulla,408 - Ort < 1.000 Einwohner,3
87173,Bressanone,Brixen,39042,Karnol,Cornale di Sopra,408 - Ort < 1.000 Einwohner,3
87278,Terlano,Terlan,39018,Terlan,Terla,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
88128,Chienes,Kiens,39030,Sankt Sigmund,San Sigismondo,408 - Ort < 1.000 Einwohner,4
88654,Martello,Martell,39020,Martell,Martello,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
89560,Brennero,Brenner,39041,Gossensaß,Colle Isarco,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
89790,Terento,Terenten,39030,Margen,Marga,"409 - Weiler, Häusergruppe",5
90656,Marebbe,Enneberg,39030,Sankt Vigil in Enneberg,San Vigilio di Marebbe,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
91165,S.Candido,Innichen,39038,Vierschach,Versciaco,410 - Einzelhaus,3
91996,S.Leonardo in Passiria,St.Leonhard in Pass.,39015,Schweinsteg,Sant'Orsola,"409 - Weiler, Häusergruppe",6
92028,La Valle,Wengen,39030,Wengen,La Val,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,1
92869,Renon,Ritten,39054,Oberbozen,Soprabolzano,408 - Ort < 1.000 Einwohner,2
93227,Rifiano,Riffian,39010,Riffian,Rifiano,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
94122,Castelrotto,Kastelruth,39040,Sankt Michael,San Michele,"409 - Weiler, Häusergruppe",4
94896,Salorno,Salurn,39040,Buchholz,Pochi,408 - Ort < 1.000 Einwohner,2
95099,S.Lorenzo di Sebato,St.Lorenzen,39030,Ellen,Elle,408 - Ort < 1.000 Einwohner,0
96341,Aldino,Aldein,39040,Hohlen,Olmi,408 - Ort < 1.000 Einwohner,4
96536,Appiano,Eppan,39057,Unterrain,Riva di Sotto,"409 - Weiler, Häusergruppe",3
97950,Braies,Prags,39030,Prags,Braies,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
98166,Renon,Ritten,39054,Unterinn,Auna di Sotto,408 - Ort < 1.000 Einwohner,3
98591,Laces,Latsch,39021,Goldrain,Coldrano,408 - Ort < 1.000 Einwohner,3
99197,Egna,Neumarkt,39044,Neumarkt,Egna,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
99854,Termeno,Tramin,39040,Söll,Sella,"409 - Weiler, Häusergruppe",5
99924,Bressanone,Brixen,39042,Klerant,Cleran,"409 - Weiler, Häusergruppe",3
